$LOC_BLANK,$BRANCH_COUNT,$CALL_PAIRS,$LOC_CODE_AND_COMMENT,$LOC_COMMENTS,$CONDITION_COUNT,$CYCLOMATIC_COMPLEXITY,$CYCLOMATIC_DENSITY,$DECISION_COUNT,$DECISION_DENSITY,$DESIGN_COMPLEXITY,$DESIGN_DENSITY,$EDGE_COUNT,$ESSENTIAL_COMPLEXITY,$ESSENTIAL_DENSITY,$LOC_EXECUTABLE,$PARAMETER_COUNT,$HALSTEAD_CONTENT,$HALSTEAD_DIFFICULTY,$HALSTEAD_EFFORT,$HALSTEAD_ERROR_EST,$HALSTEAD_LENGTH,$HALSTEAD_LEVEL,$HALSTEAD_PROG_TIME,$HALSTEAD_VOLUME,$MAINTENANCE_SEVERITY,$MODIFIED_CONDITION_COUNT,$MULTIPLE_CONDITION_COUNT,$NODE_COUNT,$NORMALIZED_CYLOMATIC_COMPLEXITY,$NUM_OPERANDS,$NUM_OPERATORS,$NUM_UNIQUE_OPERANDS,$NUM_UNIQUE_OPERATORS,$NUMBER_OF_LINES,$PERCENT_COMMENTS,$LOC_TOTAL,<$Defective
-0.69797,-0.33208,-0.60372,-0.46826,-0.53893,-0.33991,-0.33964,0.9692,-0.36303,2.28503,-0.32993,0.2246,-0.36927,-0.02109,2.03862,-0.44645,-0.32925,-0.35759,-0.63483,-0.10861,-0.25003,-0.33846,0.7988,-0.10861,-0.25327,1.96783,-0.31633,-0.34202,-0.3765,0.80259,-0.34596,-0.33,-0.4682,-0.66022,-0.60891,-0.83372,-0.47737,0
-0.79661,-0.41338,-0.60372,-0.46826,-0.53893,-0.38345,-0.41911,1.43489,-0.36303,-0.48581,-0.32993,1.38504,-0.40646,-0.44958,-0.69246,-0.50987,-1.14069,-0.42033,-0.79019,-0.11004,-0.27441,-0.3704,1.8376,-0.11004,-0.27046,0.09848,-0.40026,-0.38533,-0.40066,1.25699,-0.36784,-0.36988,-0.53588,-1.28423,-0.67634,-0.83372,-0.53985,0
-0.59934,-0.33208,0.03063,-0.20884,-0.44286,-0.29636,-0.33964,-0.56095,-0.27311,-0.48581,-0.13533,1.38504,-0.2577,-0.44958,-0.69246,-0.29846,-1.14069,-0.11815,-0.40625,-0.09985,-0.1769,-0.20822,0.10626,-0.09985,-0.17564,-0.5371,-0.31633,-0.29871,-0.23155,-0.30094,-0.18738,-0.22365,-0.17491,-0.50422,-0.44034,-0.19095,-0.31076,0
0.48568,-0.08817,-0.60372,0.56943,0.22959,-0.03509,-0.10123,-0.56095,-0.00334,-0.48581,-0.32993,-0.971,-0.10894,-0.44958,-0.69246,-0.04476,-0.32925,0.14913,0.22709,-0.04559,0.05873,0.15791,-0.75941,-0.04559,0.05653,-1.13529,-0.06453,-0.03885,-0.11076,-0.5606,0.20089,0.12198,0.09581,-0.34822,0.11595,0.79017,0.00162,0
-0.69797,0.88745,0.98214,-0.46826,-0.53893,0.66162,0.85238,2.69892,0.35635,1.98024,0.44846,-0.971,0.54187,2.12136,1.24661,-0.04476,-1.14069,-0.07232,0.95806,-0.00597,0.06686,0.14808,-0.93255,-0.00597,0.06973,0.921,0.94267,0.65412,0.44487,2.81493,0.18448,0.11755,0.14094,1.05581,-0.28862,-0.83372,-0.08168,0
4.82573,4.70866,6.69124,1.34769,0.22959,5.01611,4.58737,0.43697,5.12228,-0.43039,7.25946,0.08394,4.5955,6.62051,0.7277,3.18992,0.48219,1.28432,1.8039,0.72401,1.7082,2.00824,-1.10568,0.72401,1.71026,0.17326,4.88753,4.98513,4.57586,0.3482,1.99456,2.00522,2.71283,2.77183,3.48738,-0.43623,3.25047,0
-0.20479,-0.16947,-0.92089,-0.46826,-0.53893,-0.12218,-0.1807,-0.42789,-0.09326,-0.48581,-0.52453,-1.42814,-0.22051,0.4074,2.03862,-0.10818,0.48219,-0.25502,-0.09077,-0.09558,-0.1769,-0.21559,-0.41314,-0.09558,-0.17971,1.96783,-0.14846,-0.12547,-0.23155,-0.23603,-0.23659,-0.19706,-0.28771,0.27579,-0.25491,-0.83372,-0.14416,0
-0.30342,-0.12882,0.66497,-0.20884,-0.15467,-0.25282,-0.10123,-0.49442,-0.27311,0.89961,0.25387,0.78724,-0.10894,-0.44958,-0.69246,-0.00247,-0.32925,-0.05925,0.44019,-0.05023,-0.01439,0.02768,-0.75941,-0.05023,-0.01112,-1.13529,-0.23239,-0.2554,-0.11076,-0.36586,0.03136,0.0245,0.09581,0.8998,-0.10319,-0.05468,-0.0192,0
-0.30342,-0.33208,0.03063,-0.20884,-0.44286,-0.29636,-0.33964,-0.56095,-0.27311,-0.48581,-0.13533,1.38504,-0.2763,-0.44958,-0.69246,-0.29846,-1.14069,-0.29425,-0.5134,-0.10624,-0.23378,-0.29668,0.27939,-0.10624,-0.23148,-0.5371,-0.31633,-0.29871,-0.25571,-0.43077,-0.30222,-0.29012,-0.40052,-0.66022,-0.38977,-0.19095,-0.31076,0
1.37342,0.39964,-0.60372,0.56943,1.28631,0.40035,0.37557,1.03572,0.35635,0.12377,0.44846,-0.3732,0.24435,0.19316,0.04493,-0.10818,-0.32925,0.08111,-0.02946,-0.07257,-0.03877,-0.02147,-0.41314,-0.07257,-0.03669,-0.5371,0.43907,0.39426,0.20329,-0.23603,0.00402,-0.04197,0.25374,0.5878,0.40252,1.73735,-0.06085,1
-0.69797,-0.25078,-0.92089,-0.46826,-0.53893,-0.20927,-0.26017,-0.89359,-0.18319,-0.48581,-0.52453,-1.25231,-0.2763,-0.44958,-0.69246,-0.04476,-0.32925,0.04224,0.18066,-0.05971,-0.00627,0.05225,-0.58628,-0.05971,-0.00743,-0.83619,-0.23239,-0.21209,-0.27987,-0.43077,-0.07801,0.15743,-0.03955,0.5878,-0.28862,-0.83372,-0.08168,0
-0.79661,-0.08817,0.03063,-0.46826,-0.53893,-0.03509,-0.10123,-0.09525,-0.00334,-0.48581,0.05927,0.2246,-0.05316,-0.44958,-0.69246,-0.12932,-1.14069,-0.12055,-0.3872,-0.09931,-0.1769,-0.20576,-0.06687,-0.09931,-0.17333,-1.13529,-0.06453,-0.03885,-0.03829,0.3482,-0.19831,-0.21035,-0.17491,-0.34822,-0.37291,-0.83372,-0.16498,0
-0.69797,-0.41338,-0.92089,-0.46826,-0.53893,-0.38345,-0.41911,-0.22831,-0.36303,-0.48581,-0.52453,-0.3732,-0.42505,-0.44958,-0.69246,-0.42531,-0.32925,-0.37343,-0.60685,-0.10857,-0.25816,-0.33846,0.62566,-0.10857,-0.25447,0.09848,-0.40026,-0.38533,-0.42481,-0.04129,-0.34596,-0.33,-0.49076,-0.81623,-0.59205,-0.83372,-0.45655,0
-0.69797,-0.25078,-0.92089,-0.46826,-0.53893,-0.20927,-0.26017,0.76961,-0.18319,-0.48581,-0.52453,-1.25231,-0.2577,-0.44958,-0.69246,-0.38302,0.48219,-0.4406,0.34852,-0.1011,-0.23378,-0.3016,-0.75941,-0.1011,-0.23724,-0.83619,-0.23239,-0.21209,-0.25571,0.80259,-0.31862,-0.28568,-0.53588,-0.34822,-0.55834,-0.83372,-0.41489,0
-0.59934,-0.16947,0.66497,-0.46826,-0.53893,-0.20927,-0.1807,-0.22831,-0.27311,2.28503,0.25387,1.38504,-0.20192,0.19316,1.35585,-0.17161,0.48219,-0.23595,-0.12053,-0.09545,-0.1769,-0.20822,-0.41314,-0.09545,-0.17564,1.22009,-0.14846,-0.21209,-0.20739,0.08854,-0.22019,-0.19706,-0.26515,0.11979,-0.37291,-0.83372,-0.20664,0
0.48568,-0.16947,-0.92089,-0.46826,-0.0586,-0.12218,-0.1807,-0.42789,-0.09326,-0.48581,-0.52453,-1.42814,-0.20192,0.4074,2.03862,-0.10818,-1.14069,-0.17873,0.28602,-0.07427,-0.10377,-0.07307,-0.75941,-0.07427,-0.10115,1.96783,-0.14846,-0.12547,-0.20739,-0.5606,-0.07254,-0.07299,-0.22003,-0.19221,-0.05262,0.08467,-0.14416,0
-0.69797,-0.00687,-0.28654,-0.46826,-0.53893,0.00845,-0.02177,-0.16178,-0.00334,0.06836,-0.13533,-0.61935,-0.09035,-0.44958,-0.69246,-0.02362,0.48219,-0.29617,0.06578,-0.09365,-0.18503,-0.22296,-0.58628,-0.09365,-0.18204,-1.24745,0.01941,0.00446,-0.11076,0.21837,-0.23112,-0.21479,-0.28771,0.5878,-0.27177,-0.83372,-0.06085,0
1.57069,0.07443,0.3478,1.34769,0.80598,0.09554,0.0577,-1.02664,0.08658,-0.01477,0.64306,0.96306,0.15138,0.19316,0.48191,0.54721,-1.14069,0.37981,0.22114,-0.02413,0.17249,0.27095,-0.75941,-0.02413,0.17073,0.09848,0.10334,0.09108,0.17913,-0.82025,0.28838,0.25492,0.52446,0.4318,0.92509,0.60608,0.64723,0
0.68295,-0.16947,0.3478,3.16364,-0.3468,-0.16573,-0.1807,-1.1597,-0.18319,0.42857,-0.13533,-0.02155,-0.14613,-0.02109,0.67308,0.06095,-0.32925,0.21187,1.55271,0.17273,0.45688,0.6936,-1.10568,0.17273,0.45783,0.47235,-0.14846,-0.16878,-0.13492,-0.82025,0.4251,0.9063,0.36654,1.67982,0.30138,0.91667,0.31401,0
-0.79661,-0.25078,-0.28654,-0.46826,-0.53893,-0.20927,-0.26017,-0.29484,-0.18319,-0.48581,-0.13533,0.50592,-0.29489,-0.44958,-0.69246,-0.23503,0.48219,-0.21172,-0.43899,-0.10309,-0.20128,-0.24508,0.10626,-0.10309,-0.20422,-0.83619,-0.23239,-0.21209,-0.30403,0.08854,-0.24206,-0.2458,-0.33284,-0.81623,-0.45719,-0.83372,-0.26911,0
-0.79661,-0.41338,-0.92089,-0.46826,-0.53893,-0.38345,-0.41911,0.76961,-0.36303,-0.48581,-0.52453,-0.3732,-0.44365,-0.44958,-0.69246,-0.48873,-0.32925,-0.43629,-0.09791,-0.1058,-0.25003,-0.32126,-0.41314,-0.1058,-0.24956,0.09848,-0.40026,-0.38533,-0.44897,0.80259,-0.31862,-0.32113,-0.53588,-0.97223,-0.65948,-0.83372,-0.51902,0
-0.69797,-0.16947,-0.92089,-0.46826,-0.53893,-0.12218,-0.1807,1.10225,-0.09326,-0.48581,-0.52453,-1.42814,-0.20192,0.4074,2.03862,-0.36188,0.48219,-0.42213,0.11161,-0.10245,-0.23378,-0.29914,-0.58628,-0.10245,-0.23614,1.96783,-0.14846,-0.12547,-0.20739,1.12716,-0.30768,-0.29012,-0.51332,-0.50422,-0.54148,-0.83372,-0.39407,0
-0.79661,-0.41338,-0.92089,-0.46826,-0.53893,-0.38345,-0.41911,4.76129,-0.36303,-0.48581,-0.52453,-0.3732,-0.42505,-0.44958,-0.69246,-0.59444,0.48219,-0.36371,-0.92412,-0.11031,-0.27441,-0.37286,4.26149,-0.11031,-0.27184,0.09848,-0.40026,-0.38533,-0.42481,11.64323,-0.37878,-0.36545,-0.53588,-1.44024,-0.74377,-0.83372,-0.62315,0
-0.20479,-0.41338,-0.92089,-0.46826,-0.25073,-0.38345,-0.41911,-0.56095,-0.36303,-0.48581,-0.52453,-0.3732,-0.42505,-0.44958,-0.69246,-0.38302,-0.32925,-0.27674,-0.64435,-0.10776,-0.24191,-0.31388,0.7988,-0.10776,-0.23981,0.09848,-0.40026,-0.38533,-0.42481,-0.69043,-0.32409,-0.30341,-0.40052,-0.66022,-0.42348,0.35309,-0.41489,0
0.97887,-0.16947,-0.60372,-0.46826,-0.53893,-0.20927,-0.1807,0.63656,-0.27311,2.28503,-0.32993,-0.72484,-0.2763,0.4074,2.03862,-0.3196,0.48219,-0.32472,-0.36697,-0.10471,-0.22566,-0.29668,-0.06687,-0.10471,-0.22725,1.96783,-0.14846,-0.21209,-0.30403,-0.30094,-0.30768,-0.28568,-0.37796,0.11979,-0.22119,-0.83372,-0.35242,0
-0.79661,-0.33208,-0.28654,-0.46826,-0.53893,-0.29636,-0.33964,3.09809,-0.27311,-0.48581,-0.13533,1.38504,-0.35067,-0.02109,2.03862,-0.50987,-1.14069,-0.37187,-0.7009,-0.10925,-0.25816,-0.34583,1.14507,-0.10925,-0.25958,1.96783,-0.31633,-0.29871,-0.35234,2.55527,-0.36784,-0.32556,-0.53588,-0.97223,-0.67634,-0.83372,-0.53985,0
0.97887,0.23704,-0.28654,0.31001,0.32566,0.18263,0.21664,0.17086,0.08658,0.89961,0.25387,-0.3732,0.05841,0.83589,1.13736,0.01867,-1.14069,0.11422,0.00744,-0.06765,-0.01439,0.02276,-0.58628,-0.06765,-0.01422,0.84622,0.2712,0.1777,0.01003,-0.23603,0.03136,0.01563,0.18606,0.27579,0.25081,0.67139,0.04328,0
-0.5007,-0.33208,0.66497,-0.20884,-0.44286,-0.29636,-0.33964,-1.02664,-0.27311,-0.48581,-0.13533,1.38504,-0.31348,-0.02109,2.03862,-0.12932,2.10508,-0.09596,-0.40804,-0.09933,-0.16878,-0.20331,0.10626,-0.09933,-0.1701,1.96783,-0.31633,-0.29871,-0.30403,-0.62551,-0.20925,-0.19706,-0.15235,-0.19221,-0.28862,-0.40538,-0.14416,0
-0.5007,-0.41338,-0.92089,-0.46826,-0.53893,-0.38345,-0.41911,1.43489,-0.36303,-0.48581,-0.52453,-0.3732,-0.42505,-0.44958,-0.69246,-0.50987,0.48219,-0.38614,-0.66638,-0.10916,-0.25816,-0.34829,0.97193,-0.10916,-0.25995,0.09848,-0.40026,-0.38533,-0.42481,0.28328,-0.3405,-0.35215,-0.49076,-1.12823,-0.62577,-0.83372,-0.53985,0
-0.30342,-0.41338,-0.28654,-0.20884,0.03746,-0.38345,-0.41911,-0.42789,-0.36303,-0.48581,-0.32993,1.38504,-0.38786,-0.44958,-0.69246,-0.42531,-1.14069,-0.28657,-0.86459,-0.10985,-0.25816,-0.34829,2.87641,-0.10985,-0.26127,0.09848,-0.40026,-0.38533,-0.3765,-0.69043,-0.3569,-0.33886,-0.49076,-1.44024,-0.40662,1.56612,-0.43572,0
2.75434,-0.00687,0.03063,2.12596,2.05482,0.00845,-0.02177,-1.09317,-0.00334,0.06836,0.44846,0.89273,-0.01597,0.62165,1.57434,0.42036,-0.32925,0.42684,0.05209,-0.04136,0.13186,0.19477,-0.58628,-0.04136,0.13348,1.44442,0.01941,0.00446,-0.01413,-0.95008,0.19542,0.19288,0.70495,0.8998,1.29595,1.40466,0.58475,1
-0.69797,-0.00687,-0.60372,-0.46826,-0.44286,0.052,-0.02177,0.83614,0.08658,-0.48581,-0.13533,-0.61935,-0.07175,-0.44958,-0.69246,-0.23503,1.29364,-0.36755,1.26342,-0.06299,-0.1444,-0.12959,-0.93255,-0.06299,-0.14301,-1.24745,0.01941,0.04777,-0.0866,0.93242,-0.11082,-0.14389,-0.40052,-0.03621,-0.42348,-0.54782,-0.26911,0
0.88023,-0.08817,-0.60372,0.56943,0.13353,-0.12218,-0.10123,-0.09525,-0.18319,1.37066,-0.13533,-0.3732,-0.20192,0.62165,2.03862,-0.21389,-0.32925,-0.08336,-0.30208,-0.09517,-0.15253,-0.17136,-0.24001,-0.09517,-0.14901,1.96783,-0.06453,-0.12547,-0.23155,-0.49568,-0.19831,-0.14832,-0.12979,0.11979,0.03166,1.1167,-0.16498,1
-0.40206,-0.41338,-0.92089,-0.46826,-0.53893,-0.38345,-0.41911,0.30392,-0.36303,-0.48581,-0.52453,-0.3732,-0.44365,-0.44958,-0.69246,-0.46759,-0.32925,-0.34559,-0.59316,-0.10807,-0.25003,-0.33354,0.62566,-0.10807,-0.24833,0.09848,-0.40026,-0.38533,-0.44897,-0.17111,-0.3405,-0.32556,-0.42308,-0.19221,-0.57519,-0.83372,-0.4982,0
-0.40206,-0.33208,-0.92089,-0.46826,0.03746,-0.29636,-0.33964,-0.36136,-0.27311,-0.48581,-0.52453,-0.971,-0.31348,-0.44958,-0.69246,-0.3196,-1.14069,-0.32136,-0.44137,-0.10576,-0.23378,-0.29423,0.10626,-0.10576,-0.23201,-0.5371,-0.31633,-0.29871,-0.30403,-0.49568,-0.29128,-0.29455,-0.42308,-0.81623,-0.35605,0.79017,-0.35242,0
-0.69797,-0.33208,-0.60372,-0.46826,-0.53893,-0.29636,-0.33964,0.63656,-0.27311,-0.48581,-0.32993,0.2246,-0.35067,-0.02109,2.03862,-0.42531,-0.32925,-0.39406,-0.21815,-0.10507,-0.24191,-0.31143,-0.24001,-0.10507,-0.23932,1.96783,-0.31633,-0.29871,-0.35234,0.60785,-0.31315,-0.30784,-0.4682,-0.34822,-0.59205,-0.83372,-0.45655,0
-0.40206,0.31834,-0.28654,-0.46826,-0.44286,0.26972,0.2961,0.63656,0.17651,0.70565,-0.13533,-1.18198,0.18857,0.4074,0.39997,0.01867,1.29364,-0.20608,0.96401,-0.03656,-0.03065,-0.00672,-0.93255,-0.03656,-0.03404,-0.08845,0.35514,0.26432,0.15497,0.67277,0.00949,-0.01981,-0.01699,1.52381,-0.17062,-0.66248,-0.0192,0
5.12164,-0.41338,1.61649,1.60711,2.72728,-0.38345,-0.41911,-1.49234,-0.36303,-0.48581,-0.32993,1.38504,-0.2763,-0.44958,-0.69246,-0.10818,-1.14069,0.37225,-0.28066,-0.0775,-0.00627,0.03996,-0.24001,-0.0775,-0.00336,0.09848,-0.40026,-0.38533,-0.23155,-1.20974,0.06418,0.02007,0.2763,-0.34822,1.36338,2.48913,0.02245,1
-0.40206,-0.41338,0.3478,-0.46826,-0.53893,-0.38345,-0.41911,-1.1597,-0.36303,-0.48581,-0.32993,1.38504,-0.33208,-0.44958,-0.69246,-0.19275,-0.32925,0.06671,-0.55923,-0.10106,-0.16065,-0.18365,0.45253,-0.10106,-0.16103,0.09848,-0.40026,-0.38533,-0.30403,-0.82025,-0.17097,-0.19263,-0.10723,-0.81623,-0.35605,-0.83372,-0.22746,0
-0.59934,0.07443,-0.92089,-0.46826,-0.53893,0.13908,0.0577,0.5035,0.17651,-0.48581,-0.52453,-1.67429,0.00262,1.05014,2.03862,-0.12932,-0.32925,-0.34176,0.41519,-0.08775,-0.1769,-0.19839,-0.75941,-0.08775,-0.17823,1.96783,0.10334,0.13439,-0.01413,0.73768,-0.21472,-0.18377,-0.40052,-0.03621,-0.33919,-0.83372,-0.16498,0
1.57069,0.31834,1.29932,1.60711,1.28631,0.40035,0.2961,-0.694,0.44628,-0.48581,0.83766,0.43559,0.30014,-0.44958,-0.69246,0.50493,-1.14069,0.67996,-0.27351,-0.06537,0.09936,0.15054,-0.24001,-0.06537,0.09581,-1.43438,0.35514,0.39426,0.29992,-0.62551,0.15167,0.14857,0.68239,0.11979,0.99252,0.92387,0.6264,0
2.75434,0.48094,1.61649,2.6448,1.76663,0.48744,0.45504,-0.36136,0.44628,0.06836,0.83766,0.04878,0.39311,0.62165,0.4546,0.33579,1.29364,0.38509,0.07173,-0.0421,0.12374,0.18003,-0.58628,-0.0421,0.12205,-0.05106,0.523,0.48088,0.37239,-0.62551,0.19542,0.16629,0.68239,0.8998,1.21167,1.48025,0.5431,1
-0.40206,0.31834,-0.28654,-0.46826,-0.53893,0.40035,0.2961,1.56795,0.44628,-0.48581,0.44846,-0.19737,0.26295,-0.44958,-0.69246,-0.15047,0.48219,-0.23163,0.50448,-0.06944,-0.10377,-0.09519,-0.75941,-0.06944,-0.10495,-1.43438,0.35514,0.39426,0.25161,1.38682,-0.07254,-0.11287,-0.17491,0.4318,-0.32234,-0.83372,-0.18581,0
-0.69797,-0.41338,-0.60372,-0.46826,-0.53893,-0.38345,-0.41911,-0.22831,-0.36303,-0.48581,-0.52453,-0.3732,-0.40646,-0.44958,-0.69246,-0.42531,0.48219,-0.36047,-0.78543,-0.10969,-0.26628,-0.35566,1.8376,-0.10969,-0.26304,0.09848,-0.40026,-0.38533,-0.40066,-0.04129,-0.3569,-0.35215,-0.49076,-1.12823,-0.59205,-0.83372,-0.45655,0
-0.5007,-0.00687,0.3478,0.82885,-0.53893,0.052,-0.02177,-0.16178,0.08658,-0.48581,0.64306,1.38504,-0.03456,0.62165,1.57434,-0.12932,1.29364,-0.09116,-0.30387,-0.09552,-0.15253,-0.1689,-0.24001,-0.09552,-0.15172,1.44442,0.01941,0.04777,-0.03829,0.15345,-0.21472,-0.13059,-0.19747,-0.03621,-0.23805,0.11861,-0.06085,0
-0.69797,-0.41338,-0.28654,-0.20884,-0.53893,-0.38345,-0.41911,0.76961,-0.36303,-0.48581,-0.32993,1.38504,-0.44365,-0.44958,-0.69246,-0.50987,1.29364,-0.35675,-0.82471,-0.10988,-0.26628,-0.36057,2.18387,-0.10989,-0.2651,0.09848,-0.40026,-0.38533,-0.44897,0.54294,-0.36237,-0.35658,-0.49076,-1.12823,-0.64262,0.19471,-0.51902,0
-0.69797,-0.33208,-0.92089,-0.46826,-0.53893,-0.29636,-0.33964,0.10433,-0.27311,-0.48581,-0.52453,-0.971,-0.36927,-0.44958,-0.69246,-0.38302,-1.14069,-0.28322,-0.74554,-0.10891,-0.25003,-0.32863,1.49134,-0.10891,-0.25013,-0.5371,-0.31633,-0.29871,-0.3765,0.28328,-0.33503,-0.32113,-0.44564,-1.12823,-0.55834,-0.83372,-0.41489,0
0.48568,-0.33208,-0.60372,-0.46826,0.61385,-0.29636,-0.33964,-1.35928,-0.27311,-0.48581,-0.52453,-0.971,-0.18332,-0.44958,-0.69246,0.16666,-1.14069,0.06623,0.07352,-0.06602,-0.02252,0.05225,-0.58628,-0.06602,-0.01966,-0.5371,-0.31633,-0.29871,-0.13492,-1.015,0.01496,0.0821,-0.06211,-0.34822,0.28452,0.45182,0.12658,0
-0.10615,0.48094,2.25083,0.56943,0.99811,0.4439,0.45504,-0.76053,0.35635,0.42857,1.22686,0.57625,0.33733,0.4074,0.2088,0.90662,-0.32925,0.32775,0.00506,-0.05353,0.07499,0.11368,-0.58628,-0.05353,0.07489,-0.35016,0.523,0.52419,0.29992,-0.49568,0.08605,0.13528,0.61471,1.21181,0.90824,0.29652,0.93879,1
-0.40206,-0.25078,0.3478,-0.20884,-0.15467,-0.20927,-0.26017,0.17086,-0.18319,-0.48581,-0.13533,0.50592,-0.23911,-0.44958,-0.69246,-0.34074,-0.32925,-0.03885,-0.32887,-0.09474,-0.1444,-0.15662,-0.06687,-0.09474,-0.14049,-0.83619,-0.23239,-0.21209,-0.23155,-0.17111,-0.12722,-0.17934,-0.06211,-0.34822,-0.38977,0.67859,-0.35242,0
