$ck_oo_numberOfPrivateMethods,$LDHH_lcom,$LDHH_fanIn,$numberOfNonTrivialBugsFoundUntil:,$WCHU_numberOfPublicAttributes,$WCHU_numberOfAttributes,$CvsWEntropy,$LDHH_numberOfPublicMethods,$WCHU_fanIn,$LDHH_numberOfPrivateAttributes,$CvsEntropy,$LDHH_numberOfPublicAttributes,$WCHU_numberOfPrivateMethods,$WCHU_numberOfMethods,$ck_oo_numberOfPublicAttributes,$ck_oo_noc,$numberOfCriticalBugsFoundUntil:,$ck_oo_wmc,$LDHH_numberOfPrivateMethods,$WCHU_numberOfPrivateAttributes,$CvsLogEntropy,$WCHU_noc,$LDHH_numberOfAttributesInherited,$WCHU_wmc,$ck_oo_fanOut,$ck_oo_numberOfLinesOfCode,$ck_oo_numberOfAttributesInherited,$ck_oo_numberOfMethods,$ck_oo_dit,$ck_oo_fanIn,$LDHH_noc,$WCHU_dit,$ck_oo_lcom,$WCHU_numberOfAttributesInherited,$ck_oo_rfc,$LDHH_wmc,$LDHH_numberOfAttributes,$LDHH_numberOfLinesOfCode,$WCHU_fanOut,$WCHU_lcom,$ck_oo_cbo,$WCHU_rfc,$ck_oo_numberOfAttributes,$numberOfHighPriorityBugsFoundUntil:,$ck_oo_numberOfPrivateAttributes,$numberOfMajorBugsFoundUntil:,$WCHU_numberOfPublicMethods,$LDHH_dit,$WCHU_cbo,$CvsLinEntropy,$WCHU_numberOfMethodsInherited,$numberOfBugsFoundUntil:,$LDHH_fanOut,$LDHH_numberOfMethodsInherited,$LDHH_rfc,$ck_oo_numberOfMethodsInherited,$ck_oo_numberOfPublicMethods,$LDHH_cbo,$WCHU_numberOfLinesOfCode,$CvsExpEntropy,$LDHH_numberOfMethods,<$class
-0.35676,0.69327,0.24493,-0.29127,0.80022,-0.44691,-0.38784,-0.35203,0.63104,2.17494,0.04419,3.97767,-0.31383,-0.02818,-0.1484,3.89887,-0.35502,-0.42323,-0.26055,0.25288,0.10558,3.53941,-0.23784,-0.46899,-0.53559,-0.44195,-0.2212,-0.06862,-0.47288,1.0615,2.18931,-0.23532,-0.24824,-0.29901,-0.40397,-0.45645,-0.36857,-0.47225,-0.55561,-0.13193,0.02936,-0.27757,-0.33904,-0.1486,-0.36294,-0.37473,-0.47579,-0.18581,-0.01622,0.28634,-0.1055,-0.30646,-0.51603,-0.00249,-0.0679,-0.54686,-0.10366,-0.20521,-0.46806,0.64249,0.62952,0
-0.35676,0.27559,-0.45188,0.08875,-0.27599,-0.44691,0.09642,0.7339,-0.49053,-0.35612,0.07262,-0.18906,0.25901,0.8427,-0.1484,-0.24741,-0.35502,-0.47275,0.23509,-0.42989,-0.04106,-0.18434,0.33387,0.18534,-0.63963,-0.47695,0.08377,-0.38395,1.56995,-0.41097,-0.10074,-0.23532,-0.32139,1.00061,-0.43013,0.00739,-0.36857,-0.0886,-0.19516,0.37399,-0.6885,0.13615,-0.4832,-0.1486,-0.50829,0.40356,1.95956,-0.18581,-0.33144,-0.32291,6.45048,0.16749,-0.41164,7.52129,-0.06228,5.8266,-0.10366,-0.51888,0.07834,-0.55065,0.37244,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.04296,-0.24741,-0.35502,-0.07662,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.74366,0.13554,-0.2212,-0.54162,-0.47288,-0.41097,-0.10074,-0.23532,-0.34109,-0.29901,-0.44756,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.77823,-0.46329,-0.33904,-0.1486,-0.36294,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.63963,-0.50757,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.48244,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.77823,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
-0.35676,-0.23345,-0.45188,-0.29127,6.24454,2.62042,-0.3236,-0.35203,-0.49053,-0.35612,-0.12473,9.79934,0.25901,-0.01965,7.65426,-0.24741,-0.35502,-0.53877,0.23777,-0.42989,-0.18491,-0.18434,0.99496,-0.24322,-0.74366,-0.53382,0.23626,-0.77813,1.56995,-0.62132,-0.10074,-0.23532,-0.34953,1.02635,-0.50859,-0.36432,5.32575,-0.39086,-0.17731,-0.14328,-0.86796,-0.2316,4.99487,-0.1486,-0.36294,-0.37473,0.34133,-0.18581,-0.31599,-0.3662,-0.10021,-0.30646,-0.11817,0.04963,-0.36959,-0.19278,-0.80044,-0.31237,-0.26356,-0.59955,-0.23193,0
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.53559,-0.42008,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.35166,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.6885,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.40523,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
-0.18551,0.1591,-0.15628,0.34209,-0.27599,2.05956,0.23113,0.38042,0.06749,0.44848,1.44632,-0.18906,0.25901,0.8427,-0.1484,-0.24741,1.26508,-0.06011,0.03924,2.3012,1.15097,-0.18434,0.24391,1.24106,1.12898,-8e-05,0.23626,-0.22629,1.56995,-0.20061,-0.10074,4.24171,-0.29044,1.02635,-0.05524,0.48492,0.41962,0.33179,1.27167,0.34903,0.83694,0.51125,0.09344,-0.1486,0.07313,1.96013,1.15045,3.33959,0.93874,0.31165,0.46067,0.52295,0.36595,0.31392,0.16194,0.65702,-0.10366,0.19304,0.88357,-0.55018,0.25991,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.53559,-0.50757,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.43885,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.6885,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.40523,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
1.35568,0.98532,0.06565,0.84879,-0.27599,-0.44691,1.63553,1.39501,0.63104,-0.35612,2.13762,-0.18906,3.12886,2.57592,-0.1484,-0.24741,-0.35502,1.07877,1.06086,-0.42989,1.99163,-0.18434,1.61698,2.47447,0.6088,0.55116,0.23626,0.71973,-0.47288,0.22009,-0.10074,-0.23532,0.1316,2.31311,0.98223,2.05809,-0.36857,1.75789,1.63569,1.53783,0.56775,2.25439,-0.41112,-0.1486,-0.36294,-0.37473,3.57778,-0.18581,1.56301,1.4839,2.57192,0.99689,1.0409,1.16883,1.74146,0.01967,0.45377,0.89783,2.35023,1.02188,0.98826,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.53877,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.74366,-0.53382,-0.2212,-0.77813,-0.47288,-0.62132,-0.10074,-0.23532,-0.34953,-0.29901,-0.50859,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.86796,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.80044,-0.60579,-0.46806,-0.64356,-0.40116,0
0.32822,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.46829,-0.35203,-0.49053,-0.35612,-0.41642,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,0.31951,-0.26055,-0.42989,-0.32379,-0.18434,-0.23784,-0.46899,-0.43156,0.08304,-0.2212,0.08905,-0.47288,0.22009,-0.10074,-0.23532,-0.19478,-0.29901,0.06681,-0.45645,-0.36857,-0.47225,-0.19516,-0.37695,-0.23984,-0.46329,0.38176,-0.1486,1.23597,-0.37473,-0.47579,-0.18581,-0.33144,-0.03685,-0.1055,-0.42494,-0.35974,-0.00249,-0.45779,-0.54686,0.17506,-0.47592,-0.46806,0.38762,-0.40116,0
-0.35676,-0.39563,-0.15628,0.21542,0.80022,-0.44691,-0.26804,-0.35203,0.06749,-0.12201,0.13544,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,1.26508,0.10494,-0.26055,0.25964,0.18854,-0.18434,-0.23784,0.20206,0.2967,-0.06571,-0.2212,-0.06862,-0.47288,-0.41097,-0.10074,-0.23532,-0.24824,-0.29901,0.17143,0.91005,-0.36857,0.63297,0.16887,-0.37695,0.02936,0.33841,-0.33904,-0.1486,-0.21758,0.40356,-0.47579,-0.18581,-0.01622,0.29899,-0.63993,0.16749,1.1849,-0.61709,0.79728,-1.04257,0.45377,0.7867,0.08952,0.44077,-0.40116,0
-0.35676,0.24035,-0.1908,-0.1646,-0.27599,0.05438,-0.43317,0.24539,0.06749,-0.07544,-0.00875,-0.18906,-0.31383,0.83843,-0.1484,-0.24741,-0.35502,-0.24167,-0.26055,0.25288,-0.1002,-0.18434,-0.23784,0.39439,-0.22348,-0.38945,-0.2212,-0.06862,3.61279,0.43044,-0.10074,-0.23532,-0.24824,-0.29901,-0.35166,0.08351,-0.17136,-0.20648,-0.18445,0.36264,0.02936,0.1104,-0.33904,-0.1486,-0.21758,-0.37473,1.14243,-0.18581,-0.31908,-0.31805,1.00568,-0.18797,-0.33554,0.57448,-0.17848,2.14416,0.17506,-0.4512,0.04159,-0.45109,0.25609,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.53877,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.74366,-0.53382,-0.2212,-0.77813,-0.47288,-0.62132,-0.10074,-0.23532,-0.34953,-0.29901,-0.50859,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.86796,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.80044,-0.60579,-0.46806,-0.64356,-0.40116,0
-0.01427,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.4318,-0.35203,-0.49053,-0.35612,-0.5614,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.3242,-0.26055,-0.42989,-0.58085,-0.18434,-0.23784,-0.46899,-0.32752,-0.28883,-0.2212,0.08905,-0.47288,-0.62132,-0.10074,-0.23532,-0.19478,-0.29901,-0.28192,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.50904,-0.46329,0.02136,-0.1486,0.50919,-0.37473,-0.47579,-0.18581,-0.64358,-0.60934,-0.1055,-0.42494,-0.51603,-0.00249,-0.45779,-0.54686,0.45377,-0.60579,-0.46806,-0.62896,-0.40116,0
-0.18551,-0.39563,-0.45188,-0.1646,-0.27599,-0.44691,-0.35367,-0.35203,-0.49053,-0.35612,0.02456,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.3077,-0.26055,-0.42989,-0.08868,-0.18434,-0.23784,-0.46899,-0.53559,-0.29758,-0.2212,-0.14745,-0.47288,-0.62132,-0.10074,-0.23532,-0.27075,-0.29901,-0.3691,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.6885,-0.46329,-0.19488,-0.1486,0.07313,-0.37473,-0.47579,-0.18581,-0.64358,-0.37171,2.57722,-0.18797,-0.51603,2.59988,-0.45779,0.79865,0.17506,-0.60579,-0.46806,-0.62219,-0.40116,0
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,1.26508,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.32752,-0.49445,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.43885,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.50904,-0.46329,-0.4832,-0.1486,-0.50829,0.40356,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.40523,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.53877,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.74366,-0.53382,-0.2212,-0.69929,-0.47288,-0.41097,-0.10074,-0.23532,-0.34953,-0.29901,-0.49987,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.77823,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.66108,-0.60579,-0.46806,-0.64356,-0.40116,0
0.15697,-0.39563,-0.45188,-0.1646,-0.27599,-0.44691,-0.40525,-0.35203,-0.49053,-0.35612,-0.60257,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,0.03892,-0.26055,-0.42989,-0.14447,-0.18434,-0.23784,-0.46899,0.81688,0.03492,-0.2212,-0.06862,-0.47288,0.00974,-0.10074,-0.23532,-0.24824,-0.29901,0.11912,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,0.65748,-0.46329,-0.26696,-0.1486,-0.07223,-0.37473,-0.47579,-0.18581,-0.64358,1.16618,-0.63993,-0.18797,-0.51603,-0.61709,-0.45779,-0.54686,-0.38237,-0.60579,-0.46806,1.40243,-0.40116,1
0.67071,1.77499,-0.45188,0.59544,-0.27599,1.06194,2.97851,1.47526,-0.49053,0.85556,2.33889,-0.18906,1.41035,2.57165,-0.1484,-0.24741,-0.35502,4.21482,1.51411,1.62518,2.16257,-0.18434,-0.23784,1.94557,3.93796,5.73984,-0.2212,4.42497,3.61279,-0.41097,-0.10074,4.28604,5.68567,-0.29901,5.39367,1.15747,0.79383,1.31913,2.70637,2.5837,3.25971,2.28013,0.16552,-0.1486,0.7999,-0.37473,3.57778,-0.18581,2.18111,1.4201,0.46597,0.99689,0.84967,-0.00249,1.40475,0.09049,6.72479,0.80793,2.28473,0.48902,1.82238,1
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.53559,-0.50757,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.43885,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.6885,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.40523,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.53877,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.74366,-0.53382,-0.2212,-0.69929,-0.47288,-0.41097,-0.10074,-0.23532,-0.34953,-0.29901,-0.49987,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.77823,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.54686,-0.66108,-0.60579,-0.46806,-0.64356,-0.40116,0
0.32822,0.77713,0.71981,-0.1646,-0.27599,1.05697,-0.08498,-0.18643,1.18355,1.54997,0.03083,-0.18906,-0.31383,0.41153,-0.1484,-0.24741,-0.35502,0.08844,-0.26055,1.61842,0.09807,-0.18434,-0.23784,0.38185,0.2967,0.09617,-0.2212,1.03507,-0.47288,3.16503,-0.10074,-0.23532,0.36231,-0.29901,0.16271,0.52829,1.72535,0.25244,0.52576,0.26282,1.64453,0.28876,0.67008,-0.1486,1.09061,-0.37473,1.15846,-0.18581,1.22924,0.23991,-0.63993,-0.06948,1.10783,-0.61709,0.41493,-0.54686,1.84733,1.94846,0.20296,0.44522,0.61189,0
-0.35676,-0.39563,-0.45188,-0.41794,-0.27599,-0.44691,-0.49783,-0.35203,-0.49053,-0.35612,-0.83762,-0.18906,-0.31383,-0.45935,-0.1484,-0.24741,-0.35502,-0.50576,-0.26055,-0.42989,-0.83086,-0.18434,-0.23784,-0.46899,-0.53559,-0.50757,-0.2212,-0.62046,-0.47288,-0.62132,-0.10074,-0.23532,-0.34672,-0.29901,-0.43885,-0.45645,-0.36857,-0.47225,-0.55561,-0.37695,-0.6885,-0.46329,-0.4832,-0.1486,-0.50829,-0.37473,-0.47579,-0.18581,-0.64358,-0.76131,-0.63993,-0.42494,-0.51603,-0.61709,-0.45779,-0.40523,-0.52172,-0.60579,-0.46806,-0.64356,-0.40116,0
